date,value,classification,sentiment_lag_1,sentiment_lag_3,sentiment_lag_7,sentiment_class_lag_1
2024-01-01,65,Greed,,,,
2024-01-02,71,Greed,65.0,,,Greed
2024-01-03,70,Greed,71.0,,,Greed
2024-01-04,68,Greed,70.0,65.0,,Greed
2024-01-05,72,Greed,68.0,71.0,,Greed
2024-01-06,70,Greed,72.0,70.0,,Greed
2024-01-07,71,Greed,70.0,68.0,,Greed
2024-01-08,71,Greed,71.0,72.0,65.0,Greed
2024-01-09,76,Extreme Greed,71.0,70.0,71.0,Greed
2024-01-10,73,Greed,76.0,71.0,70.0,Extreme Greed
2024-01-11,76,Extreme Greed,73.0,71.0,68.0,Greed
2024-01-12,71,Greed,76.0,76.0,72.0,Extreme Greed
2024-01-13,64,Greed,71.0,73.0,70.0,Greed
2024-01-14,60,Greed,64.0,76.0,71.0,Greed
2024-01-15,52,Neutral,60.0,71.0,71.0,Greed
2024-01-16,64,Greed,52.0,64.0,76.0,Neutral
2024-01-17,60,Greed,64.0,60.0,73.0,Greed
2024-01-18,63,Greed,60.0,52.0,76.0,Greed
2024-01-19,51,Neutral,63.0,64.0,71.0,Greed
2024-01-20,52,Neutral,51.0,60.0,64.0,Neutral
2024-01-21,56,Greed,52.0,63.0,60.0,Neutral
2024-01-22,55,Greed,56.0,51.0,52.0,Greed
2024-01-23,50,Neutral,55.0,52.0,64.0,Greed
2024-01-24,48,Neutral,50.0,56.0,60.0,Neutral
2024-01-25,52,Neutral,48.0,55.0,63.0,Neutral
2024-01-26,49,Neutral,52.0,50.0,51.0,Neutral
2024-01-27,55,Greed,49.0,48.0,52.0,Neutral
2024-01-28,54,Neutral,55.0,52.0,56.0,Greed
2024-01-29,55,Greed,54.0,49.0,55.0,Neutral
2024-01-30,61,Greed,55.0,55.0,50.0,Greed
2024-01-31,60,Greed,61.0,54.0,48.0,Greed
2024-02-01,63,Greed,60.0,55.0,52.0,Greed
2024-02-02,63,Greed,63.0,61.0,49.0,Greed
2024-02-03,60,Greed,63.0,60.0,55.0,Greed
2024-02-04,60,Greed,60.0,63.0,54.0,Greed
2024-02-05,60,Greed,60.0,63.0,55.0,Greed
2024-02-06,64,Greed,60.0,60.0,61.0,Greed
